Speed Picture,Speed Picture Cleaned,Speed Coordinated,Speed Average,Loop Time
11.51774848708228,11.51774848708228,6.70671638967197,9.112232438377124,34.920524
7.001299505060354,7.001299505060354,6.693129726557851,6.847214615809103,32.941229
7.025615180369118,7.025615180369118,6.678828079520738,6.852221629944928,32.870333
7.024401881192389,7.024401881192389,6.6538461629256185,6.839124022059004,32.958624
10.297525555639996,10.297525555639996,6.932164849612677,8.614845202626336,31.967968
9.065993908436116,9.065993908436116,6.882894010773597,7.974443959604857,32.973944
7.485079337834303,7.485079337834303,6.6914198665087525,7.088249602171528,32.144571
8.797217840939071,8.797217840939071,7.186046547742432,7.991632194340752,28.825416
9.937303630936375,9.937303630936375,7.004690483951465,8.47099705744392,32.86979
5.713943619195876,5.713943619195876,7.155210761854908,6.434577190525392,31.051876
6.636875095097544,6.636875095097544,6.762334087500905,6.699604591299225,32.826799
6.736823260298756,6.736823260298756,7.130356415497254,6.933589837898005,34.942773
7.6793674829735075,7.6793674829735075,7.184825414725263,7.432096448849386,32.009872
8.445696477721347,8.445696477721347,6.577793415106962,7.511744946414154,32.935531
7.573875401993734,7.573875401993734,7.142010234892024,7.357942818442879,28.934906
6.796050708277807,6.796050708277807,6.755499381464945,6.775775044871376,33.041676
6.938143735973283,6.938143735973283,6.818433278728195,6.878288507350739,31.918679
